name,receiver,kind,files_bytes,full_bytes,compact_bytes,tag_only_bytes,adaptive_bytes,D_vs_full_pct,tag_vs_full_pct,adaptive_vs_full_pct
NewRouter,,function,4615,144,127,56,56,11.8,61.1,61.1
NewMux,,function,16163,152,124,53,53,18.4,65.1,65.1
URLParam,,function,4800,133,126,55,55,5.3,58.6,58.6
URLParamFromCtx,,function,4800,148,133,62,62,10.1,58.1,58.1
RouteContext,,function,4800,153,130,59,59,15.0,61.4,61.4
Chain,,function,1517,137,123,52,52,10.2,62.0,62.0
ServeHTTP,*Mux,method,16163,265,132,63,63,50.2,76.2,76.2
Handle,*Mux,method,16163,173,129,60,60,25.4,65.3,65.3
Mount,*Mux,method,16163,538,128,59,59,76.2,89.0,89.0
Route,*Mux,method,16163,211,128,59,59,39.3,72.0,72.0
Use,*Mux,method,16163,385,126,57,57,67.3,85.2,85.2
With,*Mux,method,16163,125,127,58,58,-1.6,53.6,53.6
Get,*Mux,method,16163,175,126,57,57,28.0,67.4,67.4
Post,*Mux,method,16163,178,127,58,58,28.7,67.4,67.4
Put,*Mux,method,16163,175,126,57,57,28.0,67.4,67.4
Delete,*Mux,method,16163,184,129,60,60,29.9,67.4,67.4
Patch,*Mux,method,16163,181,128,59,59,29.3,67.4,67.4
NotFound,*Mux,method,16163,202,131,62,62,35.1,69.3,69.3
MethodNotAllowed,*Mux,method,16163,235,139,70,70,40.9,70.2,70.2
Routes,*Mux,method,16163,186,129,60,60,30.6,67.7,67.7
TOTAL,,,27095,4080,2568,1176,1176,37.1,71.2,71.2
