name,receiver,kind,files_bytes,full_bytes,compact_bytes,tag_only_bytes,adaptive_bytes,D_vs_full_pct,tag_vs_full_pct,adaptive_vs_full_pct
New,,function,23812,361,842,51,51,-133.2,85.9,85.9
Default,,function,23812,162,423,55,55,-161.1,66.0,66.0
ServeHTTP,*Engine,method,23812,129,380,67,67,-194.6,48.1,48.1
Run,*Engine,method,23812,306,726,61,61,-137.3,80.1,80.1
Use,*Engine,method,23812,342,805,61,61,-135.4,82.2,82.2
Group,*RouterGroup,method,9280,291,723,68,68,-148.5,76.6,76.6
JSON,*Context,method,38997,193,483,63,63,-150.3,67.4,67.4
Bind,*Context,method,38997,594,1298,63,63,-118.5,89.4,89.4
BindJSON,*Context,method,38997,141,372,67,67,-163.8,52.5,52.5
ShouldBind,*Context,method,38997,610,1330,69,69,-118.0,88.7,88.7
Param,*Context,method,38997,370,851,64,64,-130.0,82.7,82.7
Query,*Context,method,38997,382,884,64,64,-131.4,83.2,83.2
GetHeader,*Context,method,38997,126,346,68,68,-174.6,46.0,46.0
Set,*Context,method,38997,210,521,62,62,-148.1,70.5,70.5
Get,*Context,method,38997,186,487,62,62,-161.8,66.7,66.7
Next,*Context,method,38997,216,515,63,63,-138.4,70.8,70.8
Abort,*Context,method,38997,418,922,64,64,-120.6,84.7,84.7
AbortWithStatus,*Context,method,38997,270,628,74,74,-132.6,72.6,72.6
Value,*Context,method,38997,250,594,64,64,-137.6,74.4,74.4
TOTAL,,,72089,5557,13130,1210,1210,-136.3,78.2,78.2
