mutation,loc_target,loc_actual,sample,mode,tool_calls,input_tokens,output_tokens,cached_tokens,duration_ms,correct
rename-param-loc-10,10,68,0,files,4,27188,78,216630,31099,true
rename-param-loc-10,10,68,0,defn,4,27256,40,265824,24462,true
rename-param-loc-10,10,68,1,files,5,27256,152,255414,36143,true
rename-param-loc-10,10,68,1,defn,4,27256,34,277308,23403,true
rename-param-loc-25,25,68,0,files,2,25717,14,117927,26016,false
rename-param-loc-25,25,68,0,defn,4,27190,32,269484,25645,true
rename-param-loc-25,25,68,1,files,2,25783,14,124662,30053,false
rename-param-loc-25,25,68,1,defn,4,28659,38,344061,28641,true
rename-param-loc-50,50,68,0,files,6,31653,27,277651,31564,true
rename-param-loc-50,50,68,0,defn,4,27256,34,269584,27951,true
rename-param-loc-50,50,68,1,files,2,25781,18,106069,22793,false
rename-param-loc-50,50,68,1,defn,2,25715,13,105941,19938,true
rename-param-loc-100,100,112,0,files,5,27256,149,255159,32664,true
rename-param-loc-100,100,112,0,defn,3,27184,20,165173,17180,true
rename-param-loc-100,100,112,1,files,7,28723,330,318486,37736,true
rename-param-loc-100,100,112,1,defn,4,27256,28,277500,26433,true
rename-param-loc-200,200,211,0,files,5,27246,149,264257,35426,true
rename-param-loc-200,200,211,0,defn,4,27254,28,234334,23076,true
rename-param-loc-200,200,211,1,files,2,25717,14,126838,25901,false
rename-param-loc-200,200,211,1,defn,4,27190,38,277168,30781,true
rename-param-loc-400,400,409,0,files,5,28723,149,313828,36089,true
rename-param-loc-400,400,409,0,defn,4,27254,33,234216,24631,true
rename-param-loc-400,400,409,1,files,2,25783,20,129800,24236,false
rename-param-loc-400,400,409,1,defn,7,30263,56,521241,30778,true
rename-param-loc-800,800,805,0,files,2,25781,15,110388,22325,false
rename-param-loc-800,800,805,0,defn,4,27188,28,234270,23984,true
rename-param-loc-800,800,805,1,files,9,28987,493,427114,47168,false
rename-param-loc-800,800,805,1,defn,3,27184,32,172929,19021,true
