task,condition,recall,wall_sec,tokens,cost_usd,err
8aaf8e1,off,1.000,43.97,296690,0.4836,
8aaf8e1,on,1.000,35.28,168845,0.4018,
a290980,off,1.000,27.19,208751,0.4045,
a290980,on,1.000,33.97,253940,0.4560,
355ce30,off,1.000,48.91,485752,0.6154,
355ce30,on,1.000,65.16,804349,0.8394,
b379b09,off,1.000,44.95,340285,0.5089,
b379b09,on,1.000,22.91,162534,0.3544,
db929d4,off,1.000,31.06,165864,0.3833,
db929d4,on,1.000,55.17,407191,0.6076,
1c6198c,off,1.000,47.96,407728,0.5769,
1c6198c,on,1.000,39.93,302821,0.5017,
6d6daf4,off,1.000,33.38,291954,0.4480,
6d6daf4,on,1.000,31.60,293283,0.4529,
e25fc4e,off,1.000,54.53,658243,0.6887,
e25fc4e,on,1.000,46.58,392631,0.5586,
598035a,off,1.000,72.30,739962,0.8673,
598035a,on,1.000,44.74,357171,0.5780,
c35a7a3,off,1.000,49.98,299855,0.4970,
c35a7a3,on,1.000,35.20,252858,0.4517,
140baa7,off,1.000,53.19,444858,0.5908,
140baa7,on,1.000,59.25,399331,0.5948,
b553d12,off,1.000,53.68,440262,0.6020,
b553d12,on,1.000,41.25,432880,0.5559,
8b5640a,off,1.000,52.25,499518,0.6410,
8b5640a,on,1.000,37.58,252514,0.4483,
cb281ca,off,1.000,62.82,875659,0.8955,
cb281ca,on,1.000,54.61,573422,0.7244,
b97fac7,off,1.000,35.82,201351,0.3866,
b97fac7,on,1.000,31.84,209771,0.4088,
adbdde5,off,1.000,32.84,297075,0.4838,
adbdde5,on,1.000,29.50,250440,0.4397,
95947dc,off,1.000,45.49,347052,0.5202,
95947dc,on,1.000,33.83,250805,0.4343,
e9344a8,off,1.000,71.83,488322,0.7775,
e9344a8,on,1.000,51.50,317894,0.5778,
530f3dc,off,1.000,48.97,348028,0.5408,
530f3dc,on,1.000,52.55,386255,0.5468,
f3c0089,off,0.333,74.23,489510,0.6892,
f3c0089,on,0.667,72.56,617125,0.7810,
5a5bece,off,1.000,26.17,280474,0.4098,
5a5bece,on,1.000,24.03,200223,0.3726,
f24ee27,off,0.750,98.45,1119051,1.1582,
f24ee27,on,0.750,78.30,588550,0.8205,
b164961,off,1.000,29.54,325676,0.4497,
b164961,on,1.000,33.27,321214,0.4346,
b6a8774,off,1.000,33.61,369566,0.4975,
b6a8774,on,1.000,47.70,483288,0.6562,
ba618f7,off,1.000,64.40,683122,0.7727,
ba618f7,on,1.000,32.96,167538,0.4063,
8dd9f5e,off,1.000,37.34,208078,0.4292,
8dd9f5e,on,1.000,34.41,164605,0.3849,
5bc1296,off,1.000,57.57,502139,0.6556,
5bc1296,on,0.667,62.60,528535,0.6736,
99af909,off,1.000,68.86,661132,0.7952,
99af909,on,1.000,48.61,353395,0.5756,
cb683d2,off,1.000,61.55,638624,0.7623,
cb683d2,on,1.000,61.14,557598,0.7481,
5a27843,off,1.000,28.54,243092,0.4038,
5a27843,on,1.000,40.99,366864,0.4714,
575b4c5,off,0.500,57.44,505315,0.6998,
575b4c5,on,0.500,50.00,449896,0.6606,
6fe1a1d,off,1.000,59.58,791150,0.8481,
6fe1a1d,on,1.000,46.14,369105,0.6002,
ca8548b,off,0.667,77.82,727598,0.8475,
ca8548b,on,0.667,56.37,474051,0.6832,
5ca9305,off,0.000,105.58,1435330,1.1973,
5ca9305,on,0.000,98.56,1238506,1.1208,
1ddfec9,off,1.000,37.71,246819,0.4328,
1ddfec9,on,1.000,38.64,205041,0.4157,
0b40836,off,1.000,46.46,457073,0.6486,
0b40836,on,1.000,53.57,501009,0.6658,
2ab7c43,off,1.000,78.41,678082,0.8929,
2ab7c43,on,1.000,59.15,495459,0.7506,
71d4726,off,1.000,148.87,1094427,1.2789,
71d4726,on,1.000,38.64,311390,0.5282,
48d6886,off,1.000,26.38,159043,0.3496,
48d6886,on,1.000,31.94,245925,0.4191,
5ed1272,off,1.000,44.60,345030,0.5292,
5ed1272,on,1.000,68.53,569216,0.7824,
742cd04,off,1.000,32.13,248374,0.4402,
742cd04,on,1.000,51.71,633010,0.7343,
f8e6a04,off,0.000,49.65,337253,0.5186,
f8e6a04,on,0.000,53.79,383540,0.5609,
7249424,off,1.000,28.34,160227,0.3592,
7249424,on,1.000,26.29,169915,0.3946,
8d13962,off,1.000,37.68,409316,0.5449,
8d13962,on,1.000,38.46,356092,0.5141,
72d0a04,off,0.500,73.24,918982,0.9565,
72d0a04,on,0.500,72.28,681476,0.7917,
