arm,turn,tool_uses,input_tokens,cache_creation_5m,cache_creation_1h,cache_read_input_tokens,output_tokens,cost_usd
files,1,20,47535,0,183821,1845504,289,9.017586
files,2,1,7,0,181628,195632,18,5.743743
files,3,1,5,0,5036,305895,11,0.610822
files,4,1,133,0,2574,235319,3,0.432418
files,5,1,4,0,2420,239355,3,0.431917
files,6,1,7,0,4321,405299,13,0.738658
files,7,2,140,0,11242,584850,19,1.218060
files,8,2,10,0,5084,524145,12,0.939787
files,9,1,4,0,1862,267633,3,0.457594
files,10,1,133,0,1684,270898,5,0.459237
defn,1,42,36927,0,185564,5575619,1048,14.562853
defn,2,2,13,0,245996,525325,21,8.169638
defn,3,1,134,0,8126,391590,10,0.833925
defn,4,1,5,0,3722,409306,13,0.726669
defn,5,1,4,0,1914,311285,5,0.524783
defn,6,1,5,0,3683,419090,10,0.739950
defn,7,1,392,0,6057,427173,10,0.829100
defn,8,1,4,0,2574,329080,5,0.571275
defn,9,1,4,0,2162,333974,6,0.566331
defn,10,1,133,0,2008,337607,6,0.569095
defn-forced,1,44,37435,0,165269,4479233,1184,12.327245
defn-forced,2,1,5,0,234592,77983,13,7.155785
defn-forced,3,4,400,0,10101,713343,17,1.380319
defn-forced,4,1,4,0,2156,246244,3,0.434331
defn-forced,5,1,4,0,2157,249670,3,0.439500
defn-forced,6,3,270,0,3200,594034,10,0.991851
defn-forced,7,2,8,0,8496,517642,12,1.032363
defn-forced,8,2,136,0,5398,447331,70,0.840226
defn-forced,9,1,4,0,2397,274757,3,0.484330
defn-forced,10,2,5,0,3064,371294,4,0.649236
