arm,turn,tool_uses,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,cost_usd
files,1,16,8500,53862,586258,21468,1.2099685000000002
files,2,1,4,57926,88614,1442,0.44241450000000004
files,3,1,4,2235,148973,905,0.11110025
files,4,1,4,1278,152915,478,0.096415
files,5,1,3,1137,155238,290,0.09199025
files,6,0,2,730,78332,1548,0.0824385
files,7,1,4,2624,160266,902,0.11910299999999999
files,8,1,4,2076,164563,638,0.1112265
files,9,1,4,1487,168528,223,0.09915275
files,10,2,5,1590,258012,479,0.1509435
defn-natural,1,37,64,90837,2229256,40925,2.70681125
defn-natural,2,5,7,99464,294124,1879,0.8157220000000001
defn-natural,3,3,6,5431,303571,1855,0.23213425
defn-natural,4,1,4,1914,211524,665,0.13436950000000003
defn-natural,5,1,4,1183,214668,596,0.12964775
defn-natural,6,5,5,11846,335193,4024,0.342259
defn-natural,7,2,4,5110,243044,1675,0.1953545
defn-natural,8,5,11,4849,767251,3026,0.48963674999999995
defn-natural,9,1,4,1677,260908,809,0.16118025
defn-natural,10,1,4,1819,264227,554,0.15735225000000003
defn-forced,1,52,79,100606,3085631,46332,3.3313049999999995
defn-forced,2,3,5,108415,214700,2394,0.8448187500000001
defn-forced,3,0,2,1671,108415,711,0.08243625
defn-forced,4,1,4,1472,221432,511,0.13271100000000002
defn-forced,5,2,6,1179,336568,481,0.18770775
defn-forced,6,0,2,794,112737,898,0.08379099999999999
defn-forced,7,1,3,2739,228554,939,0.15488575
defn-forced,8,2,6,2035,351394,640,0.20444575
defn-forced,9,1,4,1363,237625,382,0.13690124999999997
defn-forced,10,2,4,2019,240175,562,0.14677625
crg-forced,1,30,43,121965,1877789,31137,2.47981575
crg-forced,2,3,5,143804,285605,1869,1.0883275000000001
crg-forced,3,1,4,2033,289218,1069,0.18406024999999998
crg-forced,4,1,4,1423,292908,522,0.16841774999999998
crg-forced,5,1,4,1044,295417,278,0.1612035
crg-forced,6,0,2,731,148304,1864,0.12533075000000002
crg-forced,7,2,5,5119,452977,1830,0.30425725
crg-forced,8,1,4,2072,309593,932,0.19106650000000003
crg-forced,9,1,4,1705,313786,344,0.17616925
crg-forced,10,1,4,1505,316668,621,0.18328525
